word,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990
aids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
currently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
typically,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commitment,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
screening,3.0,3.0,9.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0
significantly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shatter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stance,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
encompass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monitor,0.0,0.0,3.0,7.0,10.0,10.0,12.0,13.0,13.0,13.0
criticise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rip,2.0,2.0,2.0,4.0,6.0,6.0,6.0,8.0,9.0,9.0
timing,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
peer,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
uncover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dramatically,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hopefully,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
optional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
killer,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
unacceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
criticize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ironically,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
redundancy,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0
forecast,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
pensioner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rehabilitation,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
implement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beautiful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
increase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
century,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daughter,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sell,0.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
increased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
evening,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
door,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
during,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
husband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coast,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
tell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
she,0.0,1.0,3.0,3.0,4.0,5.0,7.0,7.0,7.0,7.0
disease,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
between,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
protect,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
most,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
know,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autumn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brother,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
avg,0.23333333333333334,0.3333333333333333,0.6166666666666667,0.85,1.1666666666666667,1.2166666666666666,1.4166666666666667,1.5166666666666666,1.55,1.55
